FS_method,Classifier,Top_k,F1_mean,F1_std,Accuracy_mean,Precision_mean,Recall_mean,AUC_mean
mRMR,Random Forest,10,0.7951527157526236,0.0008395977864894224,0.7957100886144012,0.8010043627263439,0.7957100886144012,1.0
ReliefF,Soft Voting Ensemble,30,0.7950430300782729,0.00601776557854935,0.7960246655722285,0.7980534173958689,0.7960246655722285,0.999952815099718
RFE_SVM,Random Forest,10,0.7947120453379276,0.0063272113618283365,0.7947557470286482,0.7954236985950659,0.7947557470286482,0.9999266464728448
LASSO,Stacking Ensemble,90,0.7939919965617535,,0.7956318252730109,0.8026850605076169,0.7956318252730109,0.9999415648921872
RF_importance,LightGBM,10,0.7932669128957172,0.01676932184244102,0.793327552917327,0.7935054474136768,0.793327552917327,1.0
mRMR,LightGBM,50,0.7931679675225453,0.025409832795313978,0.7939466726258843,0.7948192522387695,0.7939466726258843,1.0
mRMR,Stacking Ensemble,50,0.7924186171430243,0.038795367021941425,0.7958787479406919,0.8056710752042022,0.7958787479406919,0.9895466646728885
Boruta,XGBoost,30,0.7920488668775478,0.044491756321331705,0.7932524808455109,0.7950772571369011,0.7932524808455109,1.0
LASSO,LightGBM,90,0.791857928677334,0.009201199817343896,0.7928140825707155,0.7960067296329033,0.7928140825707155,1.0
mRMR,Stacking Ensemble,30,0.791812623684242,0.022163008873773555,0.7935957759720011,0.8021704399694942,0.7935957759720011,0.9849442739118136
mRMR,Stacking Ensemble,90,0.7914843524223304,0.022891734288172136,0.7940441041610987,0.8029849888042313,0.7940441041610987,0.9934453591382741
mRMR,LightGBM,30,0.7907782106459993,0.025084150339941286,0.7915834028393288,0.7939275411606465,0.7915834028393288,1.0
Boruta,LightGBM,30,0.7895774015670347,0.03650930321686916,0.7907026670302894,0.7927744852034572,0.7907026670302894,1.0
RF_importance,XGBoost,10,0.7889962084685137,0.01860865457526721,0.7892138822827784,0.789963187580891,0.7892138822827784,1.0
LASSO,Soft Voting Ensemble,90,0.7883102772961549,0.025496174187842793,0.7897895245650389,0.794273228409102,0.7897895245650389,1.0
RFE_SVM,Stacking Ensemble,90,0.7881989612091151,,0.7896341463414634,0.7977032139717966,0.7896341463414634,0.9586648572278406
LASSO,Random Forest,30,0.7880226792127948,0.01805283957390554,0.7905422238144654,0.7967022335361157,0.7905422238144654,1.0
ReliefF,Stacking Ensemble,50,0.7875855291602502,0.001636485227250262,0.7896066725377353,0.7950063779230274,0.7896066725377353,0.9989735772357724
RF_importance,Soft Voting Ensemble,50,0.7874922706038321,0.014198129594198179,0.790245043631502,0.7972092095536709,0.790245043631502,0.9998650314157139
LASSO,Soft Voting Ensemble,70,0.787164122171102,0.025225750325383937,0.788060823726969,0.789894479773409,0.788060823726969,0.9997878514138677
RF_importance,Stacking Ensemble,70,0.7865136429548709,0.025123393556743017,0.7893539075963045,0.7966551088883884,0.7893539075963045,0.9977933542368405
