Outer_Fold,FS_method,Top_k,Classifier,Inner_F1,Test_F1,Test_Accuracy,Test_AUC
2,RF_importance,10,Random Forest,0.7972149332732698,0.7874357204994186,0.7942238267148014,0.7962890284318855
2,RF_importance,10,SVM (RBF),0.5629492529714974,0.5417910186472787,0.5379061371841155,0.6482208267922553
2,RF_importance,10,Logistic Regression,0.5353476495466611,0.5198334102173945,0.516245487364621,0.5276905634048492
2,RF_importance,10,XGBoost,0.8076353634493169,0.7587423534655725,0.7617328519855595,0.7898133612419327
2,RF_importance,10,LightGBM,0.8124121196617672,0.7649657368778422,0.7689530685920578,0.7896389324960753
2,RF_importance,10,Soft Voting Ensemble,0.7751981220511337,0.734923537495211,0.740072202166065,0.789464503750218
2,RF_importance,30,Random Forest,0.8202741024994579,0.7776863484328257,0.7906137184115524,0.8158904587476016
2,RF_importance,30,SVM (RBF),0.656692771127535,0.6717143350474236,0.6750902527075813,0.679029304029304
2,RF_importance,30,Logistic Regression,0.498095566064557,0.5102639080245945,0.5090252707581228,0.45556427699284846
2,RF_importance,30,XGBoost,0.7996750316305232,0.7914897156368783,0.7978339350180506,0.8111372754229897
2,RF_importance,30,LightGBM,0.793111208753163,0.7887134927015549,0.7942238267148014,0.8073434502005931
2,RF_importance,30,Stacking Ensemble,0.7936800106527759,0.7862349242980227,0.7978339350180506,0.7666143380429095
2,RF_importance,30,Soft Voting Ensemble,0.7988938463975086,0.7896230429693443,0.8014440433212996,0.8271847200418629
2,RF_importance,50,Random Forest,0.7947067478192477,0.7853523364179006,0.7978339350180506,0.8194008372579801
2,RF_importance,50,SVM (RBF),0.6110792916341015,0.6841727089296005,0.6895306859205776,0.6858320251177394
2,RF_importance,50,Logistic Regression,0.5328597375196709,0.5365268273797698,0.5379061371841155,0.4955520669806384
2,RF_importance,50,XGBoost,0.8122083305942808,0.7732185103071669,0.779783393501805,0.8165445665445666
2,RF_importance,50,LightGBM,0.8091874041023291,0.7806539689856207,0.7870036101083032,0.8039856968428396
2,RF_importance,50,Stacking Ensemble,0.796027914730076,0.8015038582767352,0.8122743682310469,0.7527472527472527
2,RF_importance,50,Soft Voting Ensemble,0.7815015282276108,0.7685205120842021,0.779783393501805,0.8282312925170068
2,RF_importance,70,Random Forest,0.7809397929505056,0.787819481139369,0.8014440433212996,0.8327010291296005
2,RF_importance,70,SVM (RBF),0.5008243660624979,0.697312542345458,0.703971119133574,0.6841095412523984
2,RF_importance,70,Logistic Regression,0.4726148184445671,0.5467280580262271,0.5523465703971119,0.48966509680795395
